"id","tweet_list","location","retweet","hashtags","sentiment"
"EstherABlack","Just 8.5 minutes to be up and running with a #Dell #VMware #WorkspaceONE drop-shipped factory provisioned… https://t.co/bHqpCT5j0Y","Englewood, CO","0","{'text': 'Dell', 'indices': [45, 50]} {'text': 'VMware', 'indices': [51, 58]} {'text': 'WorkspaceONE', 'indices': [59, 72]}","neutral"
"Techtoynews","Dell S2721DGF Gaming Monitor with 27-inch IPS panel, 165 Hz Refresh rate, 1 ms Response time #Dell #Gaming #Monitor… https://t.co/mVMhUzxVyn",,"0","{'text': 'Dell', 'indices': [93, 98]} {'text': 'Gaming', 'indices': [99, 106]} {'text': 'Monitor', 'indices': [107, 115]}","neutral"
"star95011","@MichaelDell @dellchildrens What an incredible kindness 
????Thank you so much ????
#DellFamily #DellLove #Dell #TwitterFamily ????????????","#Media #USA #Reviewer ","0","{'text': 'DellFamily', 'indices': [78, 89]} {'text': 'DellLove', 'indices': [90, 99]} {'text': 'Dell', 'indices': [100, 105]} {'text': 'TwitterFamily', 'indices': [106, 120]}","positive"
"nathanwiley","RT @TheServerStore1: Come check out and follow our new #LinkedIn account for a more in-depth look at our company. https://t.co/I76KoHYpLq #…",,"4","{'text': 'LinkedIn', 'indices': [55, 64]}","positive"
"broadcastpro","""THE BROADCAST PRO"" is partnered with DELL INDIA for Technology Solutions for Home and Business applications.

More… https://t.co/TY71EMFMLr","India","0",,"neutral"
"e_nterdiscipl","RT @TheServerStore1: Come check out and follow our new #LinkedIn account for a more in-depth look at our company. https://t.co/I76KoHYpLq #…",,"4","{'text': 'LinkedIn', 'indices': [55, 64]}","positive"
"sectest9","RT @TheServerStore1: Come check out and follow our new #LinkedIn account for a more in-depth look at our company. https://t.co/I76KoHYpLq #…","Hyderabad, India","4","{'text': 'LinkedIn', 'indices': [55, 64]}","positive"
"CyberSecurityN8","RT @TheServerStore1: Come check out and follow our new #LinkedIn account for a more in-depth look at our company. https://t.co/I76KoHYpLq #…",,"4","{'text': 'LinkedIn', 'indices': [55, 64]}","positive"
"TheServerStore1","Come check out and follow our new #LinkedIn account for a more in-depth look at our company.… https://t.co/XwEIViZSW6","Carrollton, TX","4","{'text': 'LinkedIn', 'indices': [34, 43]}","positive"
"BrettOl11096261","Join us Wednesday Aug. 12th to learn how the University of Tulsa enables learning from anywhere with Virtual Labs.… https://t.co/oA3n2uonky","Greenville, SC","0",,"neutral"
